UniqueID,GRE,TOEFL,SOP,LOR,CGPA,Research,Discipline,Admit,GPA1,Year
38,300,105,1,2,3.152,no,Humanities and Soc Science,Rejected,NA,2018
39,304,105,3,1.5,3.032,no,Humanities and Soc Science,Rejected,NA,2018
40,307,108,4,3.5,3.112,no,Humanities and Soc Science,Rejected,NA,2018
41,308,110,3.5,3,3.232,yes,Applied Science,Rejected,NA,2018
42,316,105,2.5,2.5,3.312,yes,Humanities and Soc Science,Rejected,NA,2018
43,313,107,2.5,2,3.432,yes,Humanities and Soc Science,Rejected,NA,2018
44,332,117,4.5,4,3.672,no,Science & Eng,Accepted,3.47,2018
45,326,113,4.5,4,3.792,yes,Science & Eng,Accepted,3.341,2018
46,322,110,5,4,3.672,yes,Science & Eng,Accepted,3.217,2018
47,329,114,4,5,3.752,yes,Science & Eng,Accepted,3.512,2018
48,339,119,4.5,4,3.912,no,Science & Eng,Accepted,3.752,2018
49,321,110,3.5,5,3.572,yes,Applied Science,Accepted,3.236,2018
50,327,111,3,4,3.3920000000000003,yes,Science & Eng,Accepted,3.255,2018
51,313,98,2.5,4.5,3.3520000000000003,yes,Applied Science,Accepted,3.118,2018
52,312,100,1.5,3.5,3.192,yes,Humanities and Soc Science,Rejected,NA,2018
53,334,116,4,3,3.232,yes,Science & Eng,Accepted,2.987,2018
54,324,112,4,2.5,3.272,yes,Science & Eng,Accepted,2.733,2018
55,322,110,3,3.5,3.232,no,Applied Science,Accepted,3.205,2018
56,320,103,3,3,3.112,no,Applied Science,Rejected,NA,2018
57,316,102,2,3,2.992,no,Applied Science,Rejected,NA,2018
58,298,99,4,2,3.072,no,Humanities and Soc Science,Rejected,NA,2018
59,300,99,3,2,2.752,yes,Humanities and Soc Science,Rejected,NA,2018
60,311,104,2,2,3.3520000000000003,no,Humanities and Soc Science,Rejected,NA,2018
61,309,100,3,3,3.272,no,Humanities and Soc Science,Rejected,NA,2018
62,307,101,4,3,3.312,no,Applied Science,Rejected,NA,2018
63,304,105,3,3,3.312,yes,Humanities and Soc Science,Rejected,NA,2018
64,315,107,4,3,3.432,yes,Humanities and Soc Science,Rejected,NA,2018
65,325,111,3,3.5,3.5119999999999996,no,Applied Science,Rejected,NA,2018
66,325,112,3.5,3.5,3.6,no,Science & Eng,Rejected,NA,2018
67,327,114,3,3,3.64,no,Applied Science,Rejected,NA,2018
68,316,107,3.5,3.5,3.4880000000000004,yes,Humanities and Soc Science,Rejected,NA,2018
69,318,109,3.5,4,3.72,yes,Applied Science,Accepted,3.437,2018
70,328,115,4.5,4,3.696,yes,Science & Eng,Accepted,3.817,2018
71,332,118,5,5,3.888,yes,Science & Eng,Accepted,3.67,2018
72,336,112,5,5,3.936,yes,Science & Eng,Accepted,3.481,2018
73,321,111,5,5,3.812,yes,Science & Eng,Accepted,3.621,2018
74,314,108,4.5,4,3.648,yes,Science & Eng,Accepted,3.148,2018
75,314,106,3,5,3.592,no,Applied Science,Accepted,3.028,2018
76,329,114,2,4,3.4560000000000004,yes,Humanities and Soc Science,Accepted,3.201,2018
77,327,112,3,3,3.5200000000000005,yes,Applied Science,Accepted,3.118,2018
78,301,99,3,2,3.3200000000000003,no,Humanities and Soc Science,Rejected,NA,2018
79,296,95,3,2,3.048,yes,Humanities and Soc Science,Rejected,NA,2018
80,294,93,1.5,2,2.976,no,Humanities and Soc Science,Rejected,NA,2018
81,312,105,2,3,3.24,yes,Applied Science,Rejected,NA,2018
82,340,120,5,5,3.832,yes,Science & Eng,Accepted,3.492,2018
83,320,110,5,4.5,3.72,yes,Science & Eng,Accepted,3.642,2018
84,322,115,4,4.5,3.776,yes,Science & Eng,Accepted,3.158,2018
85,340,115,4.5,4.5,3.812,yes,Science & Eng,Accepted,3.617,2018
86,319,103,4.5,3.5,3.496,no,Science & Eng,Accepted,3.249,2018
87,315,106,4.5,3.5,3.4,no,Applied Science,Accepted,3.299,2018
88,317,107,3.5,3,3.344,no,Humanities and Soc Science,Accepted,2.97,2018
89,314,108,4.5,3.5,3.2880000000000003,no,Applied Science,Rejected,NA,2018
90,316,109,4.5,3.5,3.536,yes,Science & Eng,Accepted,3.276,2018
91,318,106,4,4,3.2,yes,Humanities and Soc Science,Rejected,NA,2018
92,299,97,5,3.5,3.096,no,Applied Science,Rejected,NA,2018
93,298,98,4,3,3.244,no,Humanities and Soc Science,Rejected,NA,2018
94,301,97,3,3,3.184,yes,Humanities and Soc Science,Rejected,NA,2018
95,303,99,2,2.5,3.096,no,Applied Science,Rejected,NA,2018
96,304,100,1.5,2.5,3.168,no,Science & Eng,Rejected,NA,2018
97,306,100,3,3,3.232,no,Humanities and Soc Science,Rejected,NA,2018
98,331,120,4,4,3.616000000000001,yes,Applied Science,Accepted,3.188,2018
99,332,119,5,4.5,3.728,yes,Science & Eng,Accepted,3.17,2018
100,323,113,4,4,3.5840000000000005,yes,Applied Science,Accepted,3.176,2018
101,322,107,3.5,3.5,3.4160000000000004,yes,Applied Science,Accepted,2.979,2019
102,312,105,2.5,3,3.28,no,Humanities and Soc Science,Rejected,NA,2019
103,314,106,4,3.5,3.332,no,Humanities and Soc Science,Rejected,NA,2019
104,317,104,4.5,4,3.4200000000000004,no,Humanities and Soc Science,Rejected,NA,2019
105,326,112,3.5,3,3.652,yes,Applied Science,Accepted,3.208,2019
106,316,110,4,4.5,3.5439999999999996,yes,Applied Science,Accepted,3.584,2019
107,329,111,4.5,4.5,3.704,yes,Science & Eng,Accepted,3.534,2019
108,338,117,3.5,4.5,3.816,yes,Science & Eng,Accepted,3.685,2019
109,331,116,5,5,3.784,yes,Science & Eng,Accepted,3.548,2019
110,304,103,5,4,3.4880000000000004,no,Science & Eng,Accepted,3.511,2019
111,305,108,3,3,3.4240000000000004,no,Science & Eng,Rejected,NA,2019
112,321,109,4,4,3.504,yes,Science & Eng,Accepted,3.098,2019
113,301,107,3.5,3.5,3.368,yes,Applied Science,Rejected,NA,2019
114,320,110,4,3.5,3.4560000000000004,no,Humanities and Soc Science,Accepted,3.013,2019
115,311,105,3.5,3,3.412,yes,Applied Science,Rejected,NA,2019
116,310,106,4.5,4.5,3.648,yes,Science & Eng,Accepted,3.256,2019
117,299,102,4,3.5,3.4799999999999995,no,Applied Science,Rejected,NA,2019
118,290,104,2,2.5,3.016,no,Science & Eng,Rejected,NA,2019
119,296,99,3,3.5,2.944,no,Humanities and Soc Science,Rejected,NA,2019
120,327,104,3,3.5,3.568,yes,Science & Eng,Accepted,3.219,2019
121,335,117,5,5,3.856,yes,Science & Eng,Accepted,3.441,2019
122,334,119,4.5,4.5,3.824,yes,Science & Eng,Accepted,3.779,2019
123,310,106,1.5,2.5,3.376,no,Science & Eng,Rejected,NA,2019
124,308,108,3.5,3.5,3.3200000000000003,no,Applied Science,Rejected,NA,2019
125,301,106,2.5,3,3.4200000000000004,no,Science & Eng,Rejected,NA,2019
126,300,100,2,3,3.496,yes,Applied Science,Rejected,NA,2019
127,323,113,4,3,3.76,yes,Applied Science,Accepted,3.432,2019
128,319,112,2.5,2,3.5160000000000005,yes,Applied Science,Accepted,3.195,2019
129,326,112,3.5,3,3.672,yes,Applied Science,Accepted,3.222,2019
130,333,118,5,5,3.772,yes,Science & Eng,Accepted,3.394,2019
131,339,114,4,4.5,3.936,yes,Science & Eng,Accepted,3.635,2019
132,303,105,5,4.5,3.492,no,Science & Eng,Accepted,3.061,2019
133,309,105,3.5,3.5,3.4560000000000004,no,Science & Eng,Accepted,3.249,2019
134,323,112,4,4.5,3.5439999999999996,no,Science & Eng,Accepted,2.927,2019
135,333,113,4,4,3.744,yes,Science & Eng,Accepted,3.492,2019
136,314,109,3.5,4,3.54,yes,Science & Eng,Accepted,2.919,2019
137,312,103,5,4,3.412,no,Applied Science,Accepted,3.038,2019
138,316,100,1.5,3,3.2960000000000003,yes,Humanities and Soc Science,Accepted,2.877,2019
139,326,116,4.5,3,3.664,yes,Humanities and Soc Science,Accepted,3.22,2019
140,318,109,3.5,3.5,3.68,no,Humanities and Soc Science,Accepted,3.355,2019
141,329,110,4,3,3.692,yes,Humanities and Soc Science,Accepted,2.996,2019
142,332,118,4.5,3.5,3.776,yes,Humanities and Soc Science,Accepted,3.698,2019
143,331,115,4,3.5,3.808,yes,Science & Eng,Accepted,3.162,2019
144,340,120,4.5,4,4,yes,Science & Eng,Accepted,3.594,2019
145,325,112,3,3.5,3.616000000000001,yes,Humanities and Soc Science,Accepted,3.079,2019
146,320,113,2,2.5,3.4880000000000004,yes,Humanities and Soc Science,Accepted,3.025,2019
147,315,105,2,2.5,3.4240000000000004,no,Applied Science,Accepted,3.528,2019
148,326,114,3,3,3.676,yes,Applied Science,Accepted,3.366,2019
149,339,116,4,3.5,3.952,yes,Science & Eng,Accepted,3.381,2019
150,311,106,3.5,3,3.336,yes,Humanities and Soc Science,Accepted,2.695,2019
151,334,114,4,4,3.804,yes,Science & Eng,Accepted,3.581,2019
152,332,116,5,5,3.744,yes,Science & Eng,Accepted,3.427,2019
153,321,112,5,5,3.656,yes,Science & Eng,Accepted,3.279,2019
154,324,105,3,4,3.532,no,Applied Science,Accepted,3.033,2019
155,326,108,3,3.5,3.588,no,Applied Science,Accepted,2.977,2019
156,312,109,3,3,3.508,no,Applied Science,Accepted,2.98,2019
157,315,105,2,2.5,3.368,no,Applied Science,Accepted,3.255,2019
158,309,104,2,2.5,3.336,no,Humanities and Soc Science,Accepted,2.898,2019
159,306,106,2,2.5,3.2880000000000003,no,Humanities and Soc Science,Rejected,NA,2019
160,297,100,1.5,2,3.192,no,Humanities and Soc Science,Rejected,NA,2019
161,315,103,1.5,2,3.176,no,Humanities and Soc Science,Rejected,NA,2019
162,298,99,1.5,3,3.016,no,Humanities and Soc Science,Rejected,NA,2019
163,318,109,3,3,3.432,no,Applied Science,Accepted,3.33,2019
164,317,105,3.5,3,3.4560000000000004,no,Applied Science,Accepted,3.32,2019
165,329,111,4.5,4,3.636,yes,Science & Eng,Accepted,3.199,2019
166,322,110,4.5,4,3.62,no,Science & Eng,Accepted,3.748,2019
167,302,102,3.5,5,3.364,no,Applied Science,Accepted,3,2019
168,313,102,2,3,3.34,no,Applied Science,Rejected,NA,2019
169,293,97,2,4,3.152,yes,Humanities and Soc Science,Rejected,NA,2019
170,311,99,2.5,3,3.224,no,Humanities and Soc Science,Accepted,2.952,2019
171,312,101,2.5,3.5,3.248,yes,Humanities and Soc Science,Accepted,3.396,2019
172,334,117,4,4.5,3.66,yes,Science & Eng,Accepted,3.368,2019
173,322,110,4,5,3.684,yes,Science & Eng,Accepted,3.462,2019
174,323,113,4,4.5,3.724,yes,Science & Eng,Accepted,3.395,2019
175,321,111,4,4,3.62,yes,Science & Eng,Accepted,3.24,2019
176,320,111,4.5,3.5,3.5799999999999996,yes,Science & Eng,Accepted,3.26,2019
177,329,119,4.5,4.5,3.696,yes,Science & Eng,Accepted,3.54,2019
178,319,110,3.5,3.5,3.648,no,Applied Science,Accepted,3.75,2019
179,309,108,2.5,3,3.28,no,Applied Science,Accepted,3.172,2019
180,307,102,3,3,3.34,no,Applied Science,Accepted,3.268,2019
181,300,104,3.5,3,3.2960000000000003,no,Applied Science,Accepted,2.736,2019
182,305,107,2.5,2.5,3.4,no,Humanities and Soc Science,Accepted,3.283,2019
183,299,100,3,3.5,3.184,no,Humanities and Soc Science,Accepted,2.915,2019
184,314,110,4,4,3.5520000000000005,no,Applied Science,Accepted,2.945,2019
185,316,106,2.5,4,3.3600000000000003,no,Humanities and Soc Science,Accepted,3.151,2019
186,327,113,4.5,4.5,3.676,yes,Science & Eng,Accepted,3.331,2019
187,317,107,3.5,3,3.504,yes,Applied Science,Accepted,3.484,2019
188,335,118,4.5,3.5,3.808,yes,Science & Eng,Accepted,3.341,2019
189,331,115,4.5,3.5,3.776,yes,Science & Eng,Accepted,3.377,2019
190,324,112,5,5,3.664,yes,Science & Eng,Accepted,3.165,2019
191,324,111,4.5,4,3.696,yes,Science & Eng,Accepted,3.347,2019
192,323,110,4,5,3.624,yes,Science & Eng,Accepted,3.391,2019
193,322,114,4.5,4,3.608,yes,Science & Eng,Accepted,3.148,2019
194,336,118,4.5,5,3.844,yes,Science & Eng,Accepted,3.697,2019
195,316,109,3.5,3,3.536,no,Applied Science,Accepted,2.981,2019
196,307,107,3,3.5,3.44,yes,Humanities and Soc Science,Accepted,2.917,2019
197,306,105,3,2.5,3.336,no,Humanities and Soc Science,Accepted,3.311,2019
198,310,106,3.5,2.5,3.364,no,Humanities and Soc Science,Accepted,2.848,2019
199,311,104,4.5,4.5,3.404,no,Applied Science,Accepted,3.173,2019
200,313,107,4,4.5,3.508,no,Applied Science,Accepted,3.118,2019
201,317,103,2.5,3,3.4479999999999995,yes,Applied Science,Accepted,3.217,2020
202,315,110,3.5,3,3.4160000000000004,yes,Humanities and Soc Science,Accepted,3.44,2020
203,340,120,4.5,4.5,3.996,yes,Science & Eng,Accepted,4,2020
204,334,120,4,5,3.979999999999999,yes,Science & Eng,Accepted,3.601,2020
205,298,105,3.5,4,3.4479999999999995,no,Applied Science,Accepted,2.678,2020
206,295,99,2.5,3,3.092,no,Humanities and Soc Science,Rejected,NA,2020
207,315,99,3.5,3,3.1879999999999997,no,Humanities and Soc Science,Rejected,NA,2020
208,310,102,3.5,4,3.24,yes,Applied Science,Accepted,3.035,2020
209,305,106,3,3,3.2960000000000003,no,Humanities and Soc Science,Rejected,NA,2020
210,301,104,3.5,4,3.28,yes,Applied Science,Accepted,3.069,2020
211,325,108,4.5,4,3.656,yes,Science & Eng,Accepted,3.31,2020
212,328,110,5,4,3.688,yes,Science & Eng,Accepted,3.459,2020
213,338,120,5,5,3.896,yes,Science & Eng,Accepted,3.503,2020
214,333,119,5,4.5,3.944,yes,Science & Eng,Accepted,3.357,2020
215,331,117,4.5,5,3.8,yes,Science & Eng,Accepted,3.684,2020
216,330,116,5,4.5,3.776,yes,Science & Eng,Accepted,3.767,2020
217,322,112,4.5,4.5,3.736,yes,Science & Eng,Accepted,3.361,2020
218,321,109,4,4,3.684,yes,Science & Eng,Accepted,3.12,2020
219,324,110,3,3.5,3.62,yes,Science & Eng,Accepted,3.435,2020
220,312,104,3.5,3.5,3.4,no,Applied Science,Accepted,3.078,2020
221,313,103,4,4,3.532,no,Applied Science,Accepted,2.872,2020
222,316,110,3.5,4,3.4560000000000004,no,Applied Science,Accepted,3.143,2020
223,324,113,4.5,4,3.5479999999999996,no,Science & Eng,Accepted,3.109,2020
224,308,109,3,4,3.412,no,Humanities and Soc Science,Accepted,3.03,2020
225,305,105,3,2,3.3240000000000003,no,Humanities and Soc Science,Accepted,2.779,2020
226,296,99,2.5,2.5,3.244,no,Humanities and Soc Science,Rejected,NA,2020
227,306,110,3.5,4,3.412,no,Humanities and Soc Science,Rejected,NA,2020
228,312,110,3.5,3,3.444,no,Humanities and Soc Science,Rejected,NA,2020
229,318,112,4,3.5,3.5,no,Applied Science,Accepted,3.226,2020
230,324,111,3,3,3.636,yes,Science & Eng,Accepted,3.375,2020
231,313,104,4,4.5,3.492,no,Applied Science,Accepted,2.982,2020
232,319,106,3.5,2.5,3.364,yes,Applied Science,Accepted,2.473,2020
233,312,107,2.5,3.5,3.34,no,Humanities and Soc Science,Accepted,2.899,2020
234,304,100,2.5,3.5,3.26,no,Humanities and Soc Science,Rejected,NA,2020
235,330,113,5,4,3.756,yes,Science & Eng,Accepted,3.431,2020
236,326,111,4.5,4,3.724,yes,Science & Eng,Accepted,3.391,2020
237,325,112,4,4.5,3.7,yes,Science & Eng,Accepted,3.499,2020
238,329,114,4.5,5,3.708,yes,Science & Eng,Accepted,3.157,2020
239,310,104,2,3.5,3.38,no,Applied Science,Accepted,3.286,2020
240,299,100,1.5,2,3.1879999999999997,no,Humanities and Soc Science,Rejected,NA,2020
241,296,101,2.5,3,3.104,no,Humanities and Soc Science,Rejected,NA,2020
242,317,103,2.5,2,3.2920000000000003,no,Humanities and Soc Science,Accepted,3.186,2020
243,324,115,3.5,3,3.536,yes,Applied Science,Accepted,3.267,2020
244,325,114,3.5,3,3.648,yes,Applied Science,Accepted,3.159,2020
245,314,107,2.5,4,3.4560000000000004,no,Humanities and Soc Science,Rejected,NA,2020
246,328,110,4,2.5,3.64,yes,Science & Eng,Accepted,2.927,2020
247,316,105,3,3.5,3.524,no,Applied Science,Accepted,3.102,2020
248,311,104,2.5,3.5,3.4240000000000004,no,Humanities and Soc Science,Accepted,3.06,2020
249,324,110,3.5,4,3.5799999999999996,yes,Applied Science,Accepted,3.233,2020
250,321,111,3.5,4,3.564,yes,Applied Science,Accepted,3.455,2020
251,320,104,3,2.5,3.46,yes,Applied Science,Accepted,3.174,2020
252,316,99,2.5,3,3.632,no,Humanities and Soc Science,Accepted,3.4,2020
253,318,100,2.5,3.5,3.4479999999999995,yes,Humanities and Soc Science,Accepted,3.121,2020
254,335,115,4.5,4.5,3.904,yes,Science & Eng,Accepted,3.541,2020
255,321,114,4,5,3.68,no,Science & Eng,Accepted,3.506,2020
256,307,110,4,4.5,3.38,no,Science & Eng,Accepted,3.296,2020
257,309,99,4,4,3.4560000000000004,no,Applied Science,Accepted,2.662,2020
258,324,100,4,5,3.4880000000000004,yes,Applied Science,Accepted,3.289,2020
259,326,102,5,5,3.536,yes,Science & Eng,Accepted,3.298,2020
260,331,119,5,4.5,3.768,yes,Science & Eng,Accepted,3.37,2020
261,327,108,5,3.5,3.684,yes,Science & Eng,Accepted,3.561,2020
262,312,104,3.5,4,3.268,no,Applied Science,Accepted,2.877,2020
263,308,103,2.5,4,3.376,yes,Humanities and Soc Science,Accepted,3.006,2020
264,324,111,2.5,1.5,3.5479999999999996,yes,Applied Science,Accepted,3.406,2020
265,325,110,3,2.5,3.536,yes,Humanities and Soc Science,Accepted,3.567,2020
266,313,102,2.5,2.5,3.504,no,Applied Science,Accepted,3.245,2020
267,312,105,2,2.5,3.412,no,Humanities and Soc Science,Accepted,3.014,2020
268,314,107,3,3.5,3.3,yes,Applied Science,Accepted,2.749,2020
269,327,113,4.5,5,3.688,no,Science & Eng,Accepted,3.308,2020
270,308,108,4.5,5,3.368,no,Science & Eng,Accepted,2.867,2020
271,306,105,2.5,3,3.3200000000000003,yes,Humanities and Soc Science,Accepted,2.955,2020
272,299,96,1.5,2,3.176,no,Humanities and Soc Science,Rejected,NA,2020
273,294,95,1.5,1.5,3.088,no,Humanities and Soc Science,Rejected,NA,2020
274,312,99,1,1.5,3.236,yes,Humanities and Soc Science,Rejected,NA,2020
275,315,100,2,2.5,3.2119999999999997,no,Humanities and Soc Science,Rejected,NA,2020
276,322,110,3.5,3,3.616000000000001,yes,Applied Science,Accepted,3.529,2020
277,329,113,5,4.5,3.812,yes,Science & Eng,Accepted,3.041,2020
278,320,101,2.5,3,3.4799999999999995,no,Humanities and Soc Science,Accepted,3.315,2020
279,308,103,3,3.5,3.428,no,Humanities and Soc Science,Accepted,2.851,2020
280,304,102,3,4,3.524,no,Humanities and Soc Science,Accepted,3.395,2020
281,311,102,4.5,4,3.4880000000000004,yes,Applied Science,Accepted,3.254,2020
282,317,110,4,4.5,3.676,yes,Applied Science,Accepted,3.281,2020
283,312,106,4,3.5,3.5479999999999996,yes,Applied Science,Accepted,3.5,2020
284,321,111,2.5,3,3.592,yes,Applied Science,Accepted,3.138,2020
285,340,112,5,4.5,3.896,yes,Science & Eng,Accepted,3.467,2020
286,331,116,4,4,3.736,yes,Science & Eng,Accepted,3.222,2020
287,336,118,4.5,4,3.708,yes,Science & Eng,Accepted,3.261,2020
288,324,114,5,4.5,3.664,yes,Science & Eng,Accepted,3.54,2020
289,314,104,5,5,3.64,no,Science & Eng,Accepted,3.413,2020
290,313,109,4,3.5,3.632,no,Applied Science,Accepted,3.52,2020
291,307,105,2.5,3,3.092,no,Humanities and Soc Science,Rejected,NA,2020
292,300,102,1.5,2,3.18,no,Humanities and Soc Science,Rejected,NA,2020
293,302,99,1,2,3.22,no,Humanities and Soc Science,Rejected,NA,2020
294,312,98,3.5,3,3.304,yes,Humanities and Soc Science,Rejected,NA,2020
295,316,101,2.5,2,3.3600000000000003,yes,Humanities and Soc Science,Rejected,NA,2020
296,317,100,3,2.5,3.46,no,Humanities and Soc Science,Accepted,3.174,2020
297,310,107,3.5,3.5,3.5,no,Applied Science,Accepted,3.34,2020
298,320,120,4,4.5,3.676,no,Applied Science,Accepted,3.554,2020
299,330,114,4.5,4.5,3.728,yes,Applied Science,Accepted,3.405,2020
300,305,112,3,3.5,3.492,no,Applied Science,Accepted,3.118,2020
301,309,106,2.5,2.5,3.232,no,Humanities and Soc Science,Rejected,NA,2021
302,319,108,2.5,3,3.536,no,Humanities and Soc Science,Accepted,3.013,2021
303,322,105,3,3,3.412,yes,Humanities and Soc Science,Accepted,3.493,2021
304,323,107,3.5,3.5,3.4520000000000004,yes,Applied Science,Accepted,3.062,2021
305,313,106,2.5,2,3.404,no,Humanities and Soc Science,Rejected,NA,2021
306,321,109,3.5,3.5,3.5520000000000005,yes,Applied Science,Accepted,3.541,2021
307,323,110,4,3.5,3.672,yes,Applied Science,Accepted,3.375,2021
308,325,112,4,4,3.632,yes,Science & Eng,Accepted,3.432,2021
309,312,108,3.5,3,3.444,no,Applied Science,Accepted,2.926,2021
310,308,110,3.5,3,3.472,no,Science & Eng,Accepted,3.223,2021
311,320,104,3,3.5,3.528,yes,Applied Science,Accepted,3.423,2021
312,328,108,4.5,4,3.704,yes,Science & Eng,Accepted,3.41,2021
313,311,107,4.5,4.5,3.632,yes,Science & Eng,Accepted,3.228,2021
314,301,100,3.5,3,3.248,no,Applied Science,Accepted,2.804,2021
315,305,105,3,4,3.2840000000000003,no,Humanities and Soc Science,Accepted,2.963,2021
316,308,104,2.5,3,3.26,no,Humanities and Soc Science,Accepted,3.161,2021
317,298,101,1.5,2,3.176,no,Humanities and Soc Science,Rejected,NA,2021
318,300,99,1,2.5,3.236,no,Humanities and Soc Science,Rejected,NA,2021
319,324,111,2.5,2,3.5520000000000005,yes,Applied Science,Accepted,2.98,2021
320,327,113,3.5,3,3.508,yes,Science & Eng,Accepted,3.294,2021
321,317,106,4,3.5,3.432,yes,Applied Science,Accepted,3.38,2021
322,323,104,4,4,3.408,yes,Applied Science,Accepted,3.394,2021
323,314,107,2.5,4,3.34,no,Humanities and Soc Science,Accepted,3.19,2021
324,305,102,2,2.5,3.304,no,Humanities and Soc Science,Rejected,NA,2021
325,315,104,3,2.5,3.364,no,Applied Science,Accepted,3.147,2021
326,326,116,3.5,4,3.688,yes,Applied Science,Accepted,3.466,2021
327,299,100,2,2,3.24,no,Applied Science,Rejected,NA,2021
328,295,101,2.5,2,3.176,no,Humanities and Soc Science,Accepted,2.897,2021
329,324,112,4,3.5,3.54,yes,Science & Eng,Accepted,3.054,2021
330,297,96,2.5,1.5,3.1879999999999997,no,Humanities and Soc Science,Rejected,NA,2021
331,327,113,3.5,3,3.496,yes,Applied Science,Accepted,3.117,2021
332,311,105,3,2,3.28,yes,Humanities and Soc Science,Accepted,2.653,2021
333,308,106,3.5,2.5,3.3160000000000003,yes,Applied Science,Accepted,2.929,2021
334,319,108,3,3.5,3.4479999999999995,yes,Applied Science,Accepted,3.408,2021
335,312,107,4.5,4,3.492,yes,Science & Eng,Accepted,3.112,2021
336,325,111,4,4.5,3.676,yes,Science & Eng,Accepted,3.509,2021
337,319,110,3,2.5,3.5479999999999996,no,Applied Science,Accepted,3.424,2021
338,332,118,5,5,3.82,yes,Science & Eng,Accepted,3.508,2021
339,323,108,4,4,3.528,yes,Science & Eng,Accepted,3.144,2021
340,324,107,3.5,4,3.496,yes,Science & Eng,Accepted,3.077,2021
341,312,107,3,3,3.4160000000000004,yes,Applied Science,Accepted,3.251,2021
342,326,110,3.5,3.5,3.536,yes,Applied Science,Accepted,3.01,2021
343,308,106,3,3,3.3280000000000003,no,Applied Science,Rejected,NA,2021
344,305,103,2.5,3.5,3.2840000000000003,no,Humanities and Soc Science,Rejected,NA,2021
345,295,96,1.5,2,2.968,no,Humanities and Soc Science,Rejected,NA,2021
346,316,98,1.5,2,3.004,no,Humanities and Soc Science,Rejected,NA,2021
347,304,97,1.5,2,3.088,no,Humanities and Soc Science,Rejected,NA,2021
348,299,94,1,1,2.968,no,Humanities and Soc Science,Rejected,NA,2021
349,302,99,2,2,2.932,no,Humanities and Soc Science,Rejected,NA,2021
350,313,101,2.5,3,3.248,no,Applied Science,Rejected,NA,2021
351,318,107,3,3.5,3.34,yes,Applied Science,Accepted,3.321,2021
352,325,110,3.5,4,3.5,yes,Science & Eng,Accepted,3.322,2021
353,303,100,3,3.5,3.256,yes,Humanities and Soc Science,Rejected,NA,2021
354,300,102,3.5,2.5,3.3,no,Applied Science,Rejected,NA,2021
355,297,98,2.5,3,3.1,no,Humanities and Soc Science,Rejected,NA,2021
