UniqueID,GRE,TOEFL,SOP,LOR,CGPA,Research,Discipline,Admit
81,312,105,2,3,3.24,yes,Applied Science,Rejected
82,340,120,5,5,3.832,yes,Natural Science,Accepted
83,320,110,5,4.5,3.72,yes,Formal Science,Accepted
84,322,115,4,4.5,3.776,yes,Formal Science,Accepted
85,340,115,4.5,4.5,3.812,yes,Formal Science,Accepted
86,319,103,4.5,3.5,3.496,no,Natural Science,Accepted
87,315,106,4.5,3.5,3.4,no,Applied Science,Accepted
88,317,107,3.5,3,3.344,no,Social Science,Accepted
89,314,108,4.5,3.5,3.2880000000000003,no,Applied Science,Rejected
90,316,109,4.5,3.5,3.536,yes,Natural Science,Accepted
91,318,106,4,4,3.2,yes,Social Science,Rejected
92,299,97,5,3.5,3.096,no,Applied Science,Rejected
93,298,98,4,3,3.244,no,Social Science,Rejected
94,301,97,3,3,3.184,yes,Social Science,Rejected
95,303,99,2,2.5,3.096,no,Applied Science,Rejected
96,304,100,1.5,2.5,3.168,no,Natural Science,Rejected
97,306,100,3,3,3.232,no,Social Science,Rejected
98,331,120,4,4,3.616000000000001,yes,Applied Science,Accepted
99,332,119,5,4.5,3.728,yes,Natural Science,Accepted
100,323,113,4,4,3.5840000000000005,yes,Applied Science,Accepted
101,322,107,3.5,3.5,3.4160000000000004,yes,Applied Science,Accepted
102,312,105,2.5,3,3.28,no,Social Science,Rejected
103,314,106,4,3.5,3.332,no,Social Science,Rejected
104,317,104,4.5,4,3.4200000000000004,no,Social Science,Rejected
105,326,112,3.5,3,3.652,yes,Applied Science,Accepted
106,316,110,4,4.5,3.5439999999999996,yes,Applied Science,Accepted
107,329,111,4.5,4.5,3.704,yes,Natural Science,Accepted
108,338,117,3.5,4.5,3.816,yes,Natural Science,Accepted
109,331,116,5,5,3.784,yes,Formal Science,Accepted
110,304,103,5,4,3.4880000000000004,no,Formal Science,Accepted
111,305,108,3,3,3.4240000000000004,no,Formal Science,Rejected
112,321,109,4,4,3.504,yes,Natural Science,Accepted
113,301,107,3.5,3.5,3.368,yes,Applied Science,Rejected
114,320,110,4,3.5,3.4560000000000004,no,Social Science,Accepted
115,311,105,3.5,3,3.412,yes,Applied Science,Rejected
116,310,106,4.5,4.5,3.648,yes,Natural Science,Accepted
117,299,102,4,3.5,3.4799999999999995,no,Applied Science,Rejected
118,290,104,2,2.5,3.016,no,Natural Science,Rejected
119,296,99,3,3.5,2.944,no,Social Science,Rejected
120,327,104,3,3.5,3.568,yes,Formal Science,Accepted
121,335,117,5,5,3.856,yes,Formal Science,Accepted
122,334,119,4.5,4.5,3.824,yes,Formal Science,Accepted
123,310,106,1.5,2.5,3.376,no,Natural Science,Rejected
124,308,108,3.5,3.5,3.3200000000000003,no,Applied Science,Rejected
125,301,106,2.5,3,3.4200000000000004,no,Natural Science,Rejected
126,300,100,2,3,3.496,yes,Applied Science,Rejected
127,323,113,4,3,3.76,yes,Applied Science,Accepted
128,319,112,2.5,2,3.5160000000000005,yes,Applied Science,Accepted
129,326,112,3.5,3,3.672,yes,Applied Science,Accepted
130,333,118,5,5,3.772,yes,Formal Science,Accepted
131,339,114,4,4.5,3.936,yes,Formal Science,Accepted
132,303,105,5,4.5,3.492,no,Formal Science,Accepted
133,309,105,3.5,3.5,3.4560000000000004,no,Formal Science,Accepted
134,323,112,4,4.5,3.5439999999999996,no,Formal Science,Accepted
135,333,113,4,4,3.744,yes,Formal Science,Accepted
136,314,109,3.5,4,3.54,yes,Natural Science,Accepted
137,312,103,5,4,3.412,no,Applied Science,Accepted
138,316,100,1.5,3,3.2960000000000003,yes,Social Science,Accepted
139,326,116,4.5,3,3.664,yes,Social Science,Accepted
140,318,109,3.5,3.5,3.68,no,Humanities,Accepted
141,329,110,4,3,3.692,yes,Social Science,Accepted
142,332,118,4.5,3.5,3.776,yes,Social Science,Accepted
143,331,115,4,3.5,3.808,yes,Formal Science,Accepted
144,340,120,4.5,4,4,yes,Natural Science,Accepted
145,325,112,3,3.5,3.616000000000001,yes,Social Science,Accepted
146,320,113,2,2.5,3.4880000000000004,yes,Social Science,Accepted
147,315,105,2,2.5,3.4240000000000004,no,Applied Science,Accepted
148,326,114,3,3,3.676,yes,Applied Science,Accepted
149,339,116,4,3.5,3.952,yes,Natural Science,Accepted
150,311,106,3.5,3,3.336,yes,Social Science,Accepted
151,334,114,4,4,3.804,yes,Natural Science,Accepted
152,332,116,5,5,3.744,yes,Formal Science,Accepted
153,321,112,5,5,3.656,yes,Formal Science,Accepted
154,324,105,3,4,3.532,no,Applied Science,Accepted
155,326,108,3,3.5,3.588,no,Applied Science,Accepted
156,312,109,3,3,3.508,no,Applied Science,Accepted
157,315,105,2,2.5,3.368,no,Applied Science,Accepted
158,309,104,2,2.5,3.336,no,Social Science,Accepted
159,306,106,2,2.5,3.2880000000000003,no,Social Science,Rejected
160,297,100,1.5,2,3.192,no,Humanities,Rejected
161,315,103,1.5,2,3.176,no,Humanities,Rejected
162,298,99,1.5,3,3.016,no,Humanities,Rejected
163,318,109,3,3,3.432,no,Applied Science,Accepted
164,317,105,3.5,3,3.4560000000000004,no,Applied Science,Accepted
165,329,111,4.5,4,3.636,yes,Natural Science,Accepted
166,322,110,4.5,4,3.62,no,Formal Science,Accepted
167,302,102,3.5,5,3.364,no,Applied Science,Accepted
168,313,102,2,3,3.34,no,Applied Science,Rejected
169,293,97,2,4,3.152,yes,Social Science,Rejected
170,311,99,2.5,3,3.224,no,Social Science,Accepted
171,312,101,2.5,3.5,3.248,yes,Social Science,Accepted
172,334,117,4,4.5,3.66,yes,Formal Science,Accepted
173,322,110,4,5,3.684,yes,Natural Science,Accepted
174,323,113,4,4.5,3.724,yes,Natural Science,Accepted
175,321,111,4,4,3.62,yes,Natural Science,Accepted
176,320,111,4.5,3.5,3.5799999999999996,yes,Natural Science,Accepted
177,329,119,4.5,4.5,3.696,yes,Natural Science,Accepted
178,319,110,3.5,3.5,3.648,no,Applied Science,Accepted
179,309,108,2.5,3,3.28,no,Applied Science,Accepted
180,307,102,3,3,3.34,no,Applied Science,Accepted
181,300,104,3.5,3,3.2960000000000003,no,Applied Science,Accepted
182,305,107,2.5,2.5,3.4,no,Social Science,Accepted
183,299,100,3,3.5,3.184,no,Social Science,Accepted
184,314,110,4,4,3.5520000000000005,no,Applied Science,Accepted
185,316,106,2.5,4,3.3600000000000003,no,Social Science,Accepted
186,327,113,4.5,4.5,3.676,yes,Natural Science,Accepted
187,317,107,3.5,3,3.504,yes,Applied Science,Accepted
188,335,118,4.5,3.5,3.808,yes,Formal Science,Accepted
189,331,115,4.5,3.5,3.776,yes,Formal Science,Accepted
190,324,112,5,5,3.664,yes,Formal Science,Accepted
191,324,111,4.5,4,3.696,yes,Formal Science,Accepted
192,323,110,4,5,3.624,yes,Formal Science,Accepted
193,322,114,4.5,4,3.608,yes,Formal Science,Accepted
194,336,118,4.5,5,3.844,yes,Formal Science,Accepted
195,316,109,3.5,3,3.536,no,Applied Science,Accepted
196,307,107,3,3.5,3.44,yes,Social Science,Accepted
197,306,105,3,2.5,3.336,no,Social Science,Accepted
198,310,106,3.5,2.5,3.364,no,Social Science,Accepted
199,311,104,4.5,4.5,3.404,no,Applied Science,Accepted
200,313,107,4,4.5,3.508,no,Applied Science,Accepted
201,317,103,2.5,3,3.4479999999999995,yes,Applied Science,Accepted
202,315,110,3.5,3,3.4160000000000004,yes,Social Science,Accepted
203,340,120,4.5,4.5,3.996,yes,Formal Science,Accepted
204,334,120,4,5,3.979999999999999,yes,Formal Science,Accepted
205,298,105,3.5,4,3.4479999999999995,no,Applied Science,Accepted
206,295,99,2.5,3,3.092,no,Social Science,Rejected
207,315,99,3.5,3,3.1879999999999997,no,Social Science,Rejected
208,310,102,3.5,4,3.24,yes,Applied Science,Accepted
209,305,106,3,3,3.2960000000000003,no,Social Science,Rejected
210,301,104,3.5,4,3.28,yes,Applied Science,Accepted
211,325,108,4.5,4,3.656,yes,Natural Science,Accepted
212,328,110,5,4,3.688,yes,Natural Science,Accepted
213,338,120,5,5,3.896,yes,Natural Science,Accepted
214,333,119,5,4.5,3.944,yes,Formal Science,Accepted
215,331,117,4.5,5,3.8,yes,Natural Science,Accepted
216,330,116,5,4.5,3.776,yes,Formal Science,Accepted
217,322,112,4.5,4.5,3.736,yes,Natural Science,Accepted
218,321,109,4,4,3.684,yes,Natural Science,Accepted
219,324,110,3,3.5,3.62,yes,Natural Science,Accepted
220,312,104,3.5,3.5,3.4,no,Applied Science,Accepted
221,313,103,4,4,3.532,no,Applied Science,Accepted
222,316,110,3.5,4,3.4560000000000004,no,Applied Science,Accepted
223,324,113,4.5,4,3.5479999999999996,no,Natural Science,Accepted
224,308,109,3,4,3.412,no,Social Science,Accepted
225,305,105,3,2,3.3240000000000003,no,Social Science,Accepted
226,296,99,2.5,2.5,3.244,no,Social Science,Rejected
227,306,110,3.5,4,3.412,no,Social Science,Rejected
228,312,110,3.5,3,3.444,no,Social Science,Rejected
229,318,112,4,3.5,3.5,no,Applied Science,Accepted
230,324,111,3,3,3.636,yes,Natural Science,Accepted
231,313,104,4,4.5,3.492,no,Applied Science,Accepted
232,319,106,3.5,2.5,3.364,yes,Applied Science,Accepted
233,312,107,2.5,3.5,3.34,no,Social Science,Accepted
234,304,100,2.5,3.5,3.26,no,Social Science,Rejected
235,330,113,5,4,3.756,yes,Formal Science,Accepted
236,326,111,4.5,4,3.724,yes,Formal Science,Accepted
237,325,112,4,4.5,3.7,yes,Natural Science,Accepted
238,329,114,4.5,5,3.708,yes,Formal Science,Accepted
239,310,104,2,3.5,3.38,no,Applied Science,Accepted
240,299,100,1.5,2,3.1879999999999997,no,Humanities,Rejected
241,296,101,2.5,3,3.104,no,Humanities,Rejected
242,317,103,2.5,2,3.2920000000000003,no,Social Science,Accepted
243,324,115,3.5,3,3.536,yes,Applied Science,Accepted
244,325,114,3.5,3,3.648,yes,Applied Science,Accepted
245,314,107,2.5,4,3.4560000000000004,no,Social Science,Rejected
246,328,110,4,2.5,3.64,yes,Natural Science,Accepted
247,316,105,3,3.5,3.524,no,Applied Science,Accepted
248,311,104,2.5,3.5,3.4240000000000004,no,Social Science,Accepted
249,324,110,3.5,4,3.5799999999999996,yes,Applied Science,Accepted
250,321,111,3.5,4,3.564,yes,Applied Science,Accepted
251,320,104,3,2.5,3.46,yes,Applied Science,Accepted
252,316,99,2.5,3,3.632,no,Social Science,Accepted
253,318,100,2.5,3.5,3.4479999999999995,yes,Social Science,Accepted
254,335,115,4.5,4.5,3.904,yes,Natural Science,Accepted
255,321,114,4,5,3.68,no,Natural Science,Accepted
256,307,110,4,4.5,3.38,no,Natural Science,Accepted
257,309,99,4,4,3.4560000000000004,no,Applied Science,Accepted
258,324,100,4,5,3.4880000000000004,yes,Applied Science,Accepted
259,326,102,5,5,3.536,yes,Natural Science,Accepted
260,331,119,5,4.5,3.768,yes,Natural Science,Accepted
261,327,108,5,3.5,3.684,yes,Formal Science,Accepted
262,312,104,3.5,4,3.268,no,Applied Science,Accepted
263,308,103,2.5,4,3.376,yes,Social Science,Accepted
264,324,111,2.5,1.5,3.5479999999999996,yes,Applied Science,Accepted
265,325,110,3,2.5,3.536,yes,Social Science,Accepted
266,313,102,2.5,2.5,3.504,no,Applied Science,Accepted
267,312,105,2,2.5,3.412,no,Social Science,Accepted
268,314,107,3,3.5,3.3,yes,Applied Science,Accepted
269,327,113,4.5,5,3.688,no,Natural Science,Accepted
270,308,108,4.5,5,3.368,no,Natural Science,Accepted
271,306,105,2.5,3,3.3200000000000003,yes,Social Science,Accepted
272,299,96,1.5,2,3.176,no,Social Science,Rejected
273,294,95,1.5,1.5,3.088,no,Humanities,Rejected
274,312,99,1,1.5,3.236,yes,Humanities,Rejected
275,315,100,2,2.5,3.2119999999999997,no,Humanities,Rejected
276,322,110,3.5,3,3.616000000000001,yes,Applied Science,Accepted
277,329,113,5,4.5,3.812,yes,Formal Science,Accepted
278,320,101,2.5,3,3.4799999999999995,no,Social Science,Accepted
279,308,103,3,3.5,3.428,no,Social Science,Accepted
280,304,102,3,4,3.524,no,Social Science,Accepted
281,311,102,4.5,4,3.4880000000000004,yes,Applied Science,Accepted
282,317,110,4,4.5,3.676,yes,Applied Science,Accepted
283,312,106,4,3.5,3.5479999999999996,yes,Applied Science,Accepted
284,321,111,2.5,3,3.592,yes,Applied Science,Accepted
285,340,112,5,4.5,3.896,yes,Natural Science,Accepted
286,331,116,4,4,3.736,yes,Formal Science,Accepted
287,336,118,4.5,4,3.708,yes,Formal Science,Accepted
288,324,114,5,4.5,3.664,yes,Formal Science,Accepted
289,314,104,5,5,3.64,no,Natural Science,Accepted
290,313,109,4,3.5,3.632,no,Applied Science,Accepted
291,307,105,2.5,3,3.092,no,Social Science,Rejected
292,300,102,1.5,2,3.18,no,Social Science,Rejected
293,302,99,1,2,3.22,no,Social Science,Rejected
294,312,98,3.5,3,3.304,yes,Humanities,Rejected
295,316,101,2.5,2,3.3600000000000003,yes,Social Science,Rejected
296,317,100,3,2.5,3.46,no,Social Science,Accepted
297,310,107,3.5,3.5,3.5,no,Applied Science,Accepted
298,320,120,4,4.5,3.676,no,Applied Science,Accepted
299,330,114,4.5,4.5,3.728,yes,Applied Science,Accepted
300,305,112,3,3.5,3.492,no,Applied Science,Accepted
301,309,106,2.5,2.5,3.232,no,Social Science,Rejected
302,319,108,2.5,3,3.536,no,Social Science,Accepted
303,322,105,3,3,3.412,yes,Social Science,Accepted
304,323,107,3.5,3.5,3.4520000000000004,yes,Applied Science,Accepted
305,313,106,2.5,2,3.404,no,Social Science,Rejected
306,321,109,3.5,3.5,3.5520000000000005,yes,Applied Science,Accepted
307,323,110,4,3.5,3.672,yes,Applied Science,Accepted
308,325,112,4,4,3.632,yes,Natural Science,Accepted
309,312,108,3.5,3,3.444,no,Applied Science,Accepted
310,308,110,3.5,3,3.472,no,Natural Science,Accepted
311,320,104,3,3.5,3.528,yes,Applied Science,Accepted
312,328,108,4.5,4,3.704,yes,Natural Science,Accepted
313,311,107,4.5,4.5,3.632,yes,Natural Science,Accepted
314,301,100,3.5,3,3.248,no,Applied Science,Accepted
315,305,105,3,4,3.2840000000000003,no,Social Science,Accepted
316,308,104,2.5,3,3.26,no,Social Science,Accepted
317,298,101,1.5,2,3.176,no,Social Science,Rejected
318,300,99,1,2.5,3.236,no,Humanities,Rejected
319,324,111,2.5,2,3.5520000000000005,yes,Applied Science,Accepted
320,327,113,3.5,3,3.508,yes,Natural Science,Accepted
321,317,106,4,3.5,3.432,yes,Applied Science,Accepted
322,323,104,4,4,3.408,yes,Applied Science,Accepted
323,314,107,2.5,4,3.34,no,Social Science,Accepted
324,305,102,2,2.5,3.304,no,Social Science,Rejected
325,315,104,3,2.5,3.364,no,Applied Science,Accepted
326,326,116,3.5,4,3.688,yes,Applied Science,Accepted
327,299,100,2,2,3.24,no,Applied Science,Rejected
328,295,101,2.5,2,3.176,no,Social Science,Accepted
329,324,112,4,3.5,3.54,yes,Natural Science,Accepted
330,297,96,2.5,1.5,3.1879999999999997,no,Social Science,Rejected
331,327,113,3.5,3,3.496,yes,Applied Science,Accepted
332,311,105,3,2,3.28,yes,Social Science,Accepted
333,308,106,3.5,2.5,3.3160000000000003,yes,Applied Science,Accepted
334,319,108,3,3.5,3.4479999999999995,yes,Applied Science,Accepted
335,312,107,4.5,4,3.492,yes,Natural Science,Accepted
336,325,111,4,4.5,3.676,yes,Natural Science,Accepted
337,319,110,3,2.5,3.5479999999999996,no,Applied Science,Accepted
338,332,118,5,5,3.82,yes,Formal Science,Accepted
339,323,108,4,4,3.528,yes,Formal Science,Accepted
340,324,107,3.5,4,3.496,yes,Formal Science,Accepted
341,312,107,3,3,3.4160000000000004,yes,Applied Science,Accepted
342,326,110,3.5,3.5,3.536,yes,Applied Science,Accepted
343,308,106,3,3,3.3280000000000003,no,Applied Science,Rejected
344,305,103,2.5,3.5,3.2840000000000003,no,Social Science,Rejected
345,295,96,1.5,2,2.968,no,Social Science,Rejected
346,316,98,1.5,2,3.004,no,Humanities,Rejected
347,304,97,1.5,2,3.088,no,Social Science,Rejected
348,299,94,1,1,2.968,no,Humanities,Rejected
349,302,99,2,2,2.932,no,Humanities,Rejected
350,313,101,2.5,3,3.248,no,Applied Science,Rejected
351,318,107,3,3.5,3.34,yes,Applied Science,Accepted
352,325,110,3.5,4,3.5,yes,Natural Science,Accepted
353,303,100,3,3.5,3.256,yes,Social Science,Rejected
354,300,102,3.5,2.5,3.3,no,Applied Science,Rejected
355,297,98,2.5,3,3.1,no,Social Science,Rejected
356,317,106,2,3.5,3.28,no,Social Science,Accepted
357,327,109,3.5,4,3.54,yes,Applied Science,Accepted
358,301,104,3.5,3.5,3.1879999999999997,yes,Social Science,Accepted
359,314,105,2.5,2,3.088,no,Social Science,Accepted
360,321,107,2,1.5,3.408,no,Social Science,Accepted
361,322,110,4,5,3.4880000000000004,yes,Applied Science,Accepted
362,334,116,4,3.5,3.848,yes,Natural Science,Accepted
363,338,115,4.5,5,3.724,yes,Formal Science,Accepted
364,306,103,2.5,3,3.376,no,Social Science,Accepted
365,313,102,3.5,4,3.592,yes,Applied Science,Accepted
366,330,114,4.5,3,3.7,yes,Natural Science,Accepted
367,320,104,3.5,4.5,3.368,yes,Applied Science,Accepted
368,311,98,1,2.5,3.016,no,Humanities,Rejected
369,298,92,2,2,3.184,no,Humanities,Rejected
370,301,98,2,3,3.244,yes,Humanities,Accepted
371,310,103,2.5,2.5,3.3280000000000003,no,Social Science,Accepted
372,324,110,3.5,3,3.72,yes,Applied Science,Accepted
373,336,119,4.5,4,3.88,yes,Natural Science,Accepted
374,321,109,3,3,3.4479999999999995,yes,Applied Science,Accepted
375,315,105,2,2.5,3.092,no,Social Science,Rejected
376,304,101,2,2.5,3.096,no,Social Science,Rejected
377,297,96,2.5,2,3.004,no,Social Science,Rejected
378,290,100,1.5,2,3.056,no,Humanities,Rejected
379,303,98,2,2.5,3.092,no,Humanities,Rejected
380,311,99,2.5,3,3.404,yes,Humanities,Accepted
381,322,104,3.5,4,3.568,yes,Applied Science,Accepted
382,319,105,3,3.5,3.5,yes,Applied Science,Accepted
383,324,110,4.5,4,3.692,yes,Natural Science,Accepted
384,300,100,3,3.5,3.336,no,Applied Science,Rejected
385,340,113,5,5,3.928,yes,Natural Science,Accepted
386,335,117,5,5,3.96,yes,Formal Science,Accepted
387,302,101,2.5,3.5,3.2159999999999997,no,Social Science,Rejected
388,307,105,2,3.5,3.272,no,Social Science,Rejected
389,296,97,1.5,2,3.152,no,Social Science,Rejected
390,320,108,3.5,4,3.408,yes,Applied Science,Accepted
391,314,102,2,2.5,3.3280000000000003,no,Social Science,Rejected
392,318,106,2,3,3.492,no,Applied Science,Accepted
393,326,112,4,3.5,3.68,yes,Natural Science,Accepted
394,317,104,3,3,3.536,no,Social Science,Accepted
395,329,111,4.5,4,3.724,yes,Natural Science,Accepted
396,324,110,3.5,3.5,3.648,yes,Applied Science,Accepted
397,325,107,3,3.5,3.676,yes,Applied Science,Accepted
398,330,116,5,4.5,3.812,yes,Natural Science,Accepted
399,312,103,3.5,4,3.5439999999999996,no,Applied Science,Accepted
400,333,117,5,4,3.896,yes,Natural Science,Accepted
